Unet_final_w22,Unet_final_w24,Unet_final_w33,Unet_final_w39,Unet_final_w1010,Unet_final_w1020,Unet_final_w2020,Unet_final_w2040,Unet_final_w5050
1.0,1.0,1.0,1.0,0.99700927734375,0.99951171875,1.0,0.999267578125,0.99462890625
1.0,1.0,1.0,0.99951171875,0.9989013671875,0.9996337890625,1.0,0.99920654296875,0.99658203125
0.9998779296875,1.0,0.99981689453125,0.9996337890625,0.9915771484375,0.99774169921875,1.0,0.99957275390625,0.990966796875
0.0,0.0,0.75,0.125,0.10638297872340426,0.3076923076923077,0.0,1.0,0.0
0.0,0.13114754098360656,0.4426229508196721,0.639344262295082,0.21693121693121692,0.575,0.0,0.6349206349206349,0.1415929203539823
0.022727272727272728,0.6842105263157895,0.24210526315789474,0.6407766990291263,0.5691056910569106,0.7216494845360825,0.0,0.7604166666666666,0.18545454545454546
0.15126050420168066,0.2230769230769231,0.0,0.6050420168067226,0.53125,0.4696969696969697,0.0,0.6451612903225806,0.20477815699658702
0.109375,0.7611940298507462,0.0,0.022900763358778626,0.6792452830188679,0.15337423312883436,0.0,0.8307692307692308,0.24803149606299213
0.029940119760479042,0.711864406779661,0.005813953488372093,0.24431818181818182,0.631578947368421,0.14218009478672985,0.0,0.8082901554404145,0.24624624624624625
0.4648648648648649,0.7843137254901961,0.8235294117647058,0.8877005347593583,0.7213930348258707,0.20388349514563106,0.0,0.7952380952380952,0.2902097902097902
0.0,0.7883817427385892,0.6909090909090909,0.8287037037037037,0.5573770491803278,0.1688888888888889,0.0,0.7974683544303798,0.23353293413173654
0.029411764705882353,0.8226950354609929,0.6048951048951049,0.6091549295774648,0.6237623762376238,0.22968197879858657,0.0,0.7973421926910299,0.21485411140583555
0.0,0.8278145695364238,0.6962457337883959,0.3159722222222222,0.5481927710843374,0.18,0.0,0.8073089700996677,0.19900497512437812
0.0,0.628808864265928,0.08333333333333333,0.1878453038674033,0.6096256684491979,0.06933333333333333,0.0,0.5295698924731183,0.16237623762376238
0.0,0.29683698296836986,0.14841849148418493,0.09732360097323602,0.587378640776699,0.009615384615384616,0.0,0.43333333333333335,0.15520282186948853
0.0,0.10779816513761468,0.0,0.0888382687927107,0.5945945945945946,0.004366812227074236,0.0,0.40816326530612246,0.14568345323741008
0.013729977116704805,0.07780320366132723,0.0,0.10297482837528604,0.5854214123006833,0.006535947712418301,0.0,0.3924611973392461,0.13805309734513274
0.036036036036036036,0.24324324324324326,0.0,0.22489082969432314,0.5615212527964206,0.0,0.0,0.38565022421524664,0.17105263157894737
0.0,0.37719298245614036,0.006564551422319475,0.22532188841201717,0.7266811279826464,0.0,0.0,0.3912133891213389,0.1586452762923351
0.0,0.36069114470842334,0.004338394793926247,0.2224622030237581,0.6787234042553192,0.008528784648187633,0.0,0.49502982107355864,0.164021164021164
0.0,0.31524008350730687,0.0,0.3112033195020747,0.5589430894308943,0.09316770186335403,0.0,0.3530534351145038,0.19387755102040816
0.0,0.2839248434237996,0.0,0.2863070539419087,0.5462012320328542,0.16056910569105692,0.0,0.31411530815109345,0.20875420875420875
